A128,A129,A130,A154,A347,A360,A361,A362,PMI,EVI_t0,EVI_5yr_diff,EVI.D.yr1,EVI.D.yr2,EVI.D.yr3,EVI.D.yr4,EVI.D.yr5,EVI.D.pre.5cell,forest.pre,pop.den.5km.pre,dist.disturb.pre,wave,rain_5yr_diff,rain_yr1_diff,rain_yr2_diff,rain_yr3_diff,rain_yr4_diff,rain_yr5_diff,distance,weights
20156,2191,12504,0,1,6,874.808228,5.063344,1,4286.369629,1933.817383,1622.635742,-433.027344,32.5571289999998,-180.675781,892.327637,203.378907,860220,0.309999,3824,three,0.133052999999999,4.957596,-8.526837,-0.0282150000000003,0.643361,3.087148,0.0664468496388836,1
20983,3114,12337,0,1,6,936.429688,5.931638,1,4620.861816,1526.825684,1045.360352,-280.400879,-609.480469,735.861328,635.485352,211.517089,860220,0.356498,2932,three,0.0796489999999999,4.904573,-8.521334,-0.0282930000000001,0.644462,3.080241,0.0464355505698539,1
21818,4016,12238,0,1,6,1013.693115,3.785532,1,4818.182129,474.716309,569.598633000001,71.3774409999996,-478.757324,425.979492,-113.481933,175.825194999999,834413,0.495998,2073,three,0.0231669999999999,4.846081,-8.513419,-0.0284140000000002,0.645288,3.073631,0.0303679301348327,1
22660,4924,12210,0,1,6,1150.463379,12.181484,1,4561.578125,829.445313,187.54248,187.219239,-150.571289,57.3964840000008,547.858399,149.354492,860220,0.697497,1311,three,-0.0362559999999998,4.782295,-8.503135,-0.028575,0.645839,3.06732,0.0234840292383772,1
23509,5742,12240,0,1,6,1348.651855,17.018373,0,4249.219238,708.013672,-227.339111,151.412353,233.563965,-293.34375,843.720214999999,169.96045,817209,0.821496,927,three,-0.16337,4.639562,-8.475641,-0.0290090000000003,0.646122,3.055596,0.0192530501958967,1.13452914798206
15832,2340,13369,0,1,6,894.021729,12.887815,1,4435.832031,909.56836,585.364258000001,548.522461,-53.7724609999996,-274.095703000001,103.549805000001,-583.098145,851618,0.371998,8550,three,0.325998,5.06263,-8.484981,-0.0208840000000001,0.630126,3.139107,0.0496253288867841,1
16647,1440,12946,0,1,6,925.154175,8.139118,1,4532.49707,603.150390999999,933.413575,272.734375,-214.696778,-603.945312000001,215.644531,-432.28125,817209,0.371998,7648,three,0.29257,5.04876,-8.498411,-0.0205320000000002,0.633322,3.129431,0.0406054763227946,1
17497,510,12545,0,1,6,734.108887,11.689993,1,4845.794922,378.683105,756.22998,293.065918,-267.076660000001,-164.886719,-238.649414,-242.819823999999,860220,0.371998,6752,three,0.213907,4.995371,-8.511984,-0.0200689999999999,0.638281,3.112308,0.04113313071182,1
18356,390,12166,0,1,6,699.999329,-0.005279,1,5154.25293,413.122558,768.919922,267.485839,126.784668,-266.772949,-483.294922,-123.874511999999,834413,0.356498,5865,three,0.168625,4.95638,-8.512635,-0.019952,0.640101,3.104731,0.0356287147799388,1
19219,1320,11849,0,1,6,704.300964,7.006226,1,5407.969727,615.681640000001,630.409179,758.785645,-528.911133,-35.7221680000002,-208.879883,3.54834000000028,860220,0.325498,4994,three,0.119958,4.911527,-8.510784,-0.0198880000000003,0.641641,3.097462,0.0347195209954433,1
