x,y,A128,A129,A130,A347,A361,A362,PML,fl.5yr.postPML,fl.yr1,fl.yr2,fl.yr3,fl.yr4,fl.yr5,fl.pre.5cell,forest.pre,pop.den.5km.pre,dist.disturb.pre,id,distance,weights
886522,9711013,34190,4350,5961,0,347.2297058,17.7551193,1,0,0,0,0,0,0,8766,860220,1.88905350368494,13116,two15176,0.00339235777086982,1
887449,9711013,34642,3420,5282,0,318.9031067,0.8908523,1,0,0,0,0,0,0,24350,860220,1.5015553490829,12199,two15177,0.000342408561351943,1
888377,9711013,35114,2490,4675,0,356.2288818,3.3892617,1,0,0,0,0,0,0,25324,860220,1.16249446380611,11283,two15178,0.000291431789162909,1
889304,9711013,35604,1560,3985,0,311.7135315,1.9145274,0,0,0,0,0,0,0,26297.9995118,860220,0.774996309204077,10369,two15179,0.000170908831377527,0.324817518248175
882812,9710085,31738,8093,8748,0,280.3544006,1.658258,0,0,0,0,0,0,0,0,860220,5.13435054847701,14839,two15380,0.00674771625440178,2.27372262773723
883739,9710085,32106,7200,7905,0,288.7199097,9.3101101,1,0,0,0,0,0,0,0,860220,4.40779150859819,14868,two15381,0.00738577767258094,1
884667,9710085,32508,6279,7048,0,319.9601746,0.2435858,1,0,0,0,0,0,0,0,860220,3.77810700736987,14955,two15382,0.00180704568007933,1
885594,9710085,32931,5361,6213,0,350.3091736,15.3763351,1,0,0,0,0,0,0,0,860220,2.90623615951529,14187,two15383,0.00427010414710521,1
886522,9710085,33375,4448,5409,0,324.3963318,8.0191154,1,0,0,0,0,0,0,8766,851618,2.32498892761223,13279,two15384,0.00106252605519935,1
887449,9710085,33839,3544,4652,0,307.5150757,17.713068,1,1948,0,1948,0,0,0,25324,851618,1.88905350368494,12374,two15385,0.00105494633009646,1
882812,9709158,30886,8252,8484,0,301.6985779,10.4591293,0,974,0,0,0,0,974,0,851618,5.18278781780226,13912,two15586,0.0144331832297652,0.974452554744526
883739,9709158,31264,7378,7612,0,287.2980957,7.4263091,1,0,0,0,0,0,0,0,860220,4.35935423927293,13943,two15587,0.0066272009920007,1
884667,9709158,31677,6482,6718,0,322.6425171,11.8097181,1,0,0,0,0,0,0,0,860220,3.48748339141835,14035,two15588,0.00523351997420237,1
885594,9709158,32111,5598,5836,0,333.9017944,11.680047,1,0,0,0,0,0,0,0,843015,2.51873800491325,14187,two15589,0.00240722684236902,1
886522,9709158,32566,4730,4971,0,325.6768188,3.3831029,1,0,0,0,0,0,0,12662,860220,1.98592804233545,13504,two15590,0.000582993903645207,1
887449,9709158,33041,3880,4134,0,319.1569824,1.0217119,1,8766,0,8766,0,0,0,32142,860220,1.59842988773341,12615,two15591,0.000178820505451112,1
888377,9709158,33535,3009,3348,0,280,0,0,7792,0,0,0,0,7792,32142.0009766,860220,1.01718265583035,11731,two15592,0.000108158054484284,0.324817518248175
883739,9708230,30428,7414,7424,0,280.0006409,-0.0112695,1,0,0,0,0,0,0,4870,860220,4.60154058589921,13017,two15791,0.00324606076966473,1
884667,9708230,30852,6485,6505,0,362.0919495,13.7644186,1,0,0,0,0,0,0,13636,860220,3.43904612209309,13116,two15792,0.00446756971418818,1
885594,9708230,31298,5556,5589,0,299.0709534,13.1908503,1,0,0,0,0,0,0,13636,851618,2.22811438896172,13279,two15793,0.00209671053610489,1
886522,9708230,31765,4627,4679,0,316.6422729,4.228363,1,0,0,0,0,0,0,26298,860220,1.54999261840815,13504,two15794,0.000374144146554411,1
887449,9708230,32251,3699,3778,0,279.0104065,0.7889959,1,0,0,0,0,0,0,52595.9982605,860220,1.06561992515561,12918,two15795,7.9382372951846e-05,1
884667,9707303,30033,6464,6421,0,290.0605774,11.8089161,0,0,0,0,0,0,0,15583.9997559,860220,3.43904612209309,12199,two15994,0.00401311989319972,0.64963503649635
885594,9707303,30491,5579,5491,0,280.2367859,2.4108167,0,29220,4870,9740,10714,974,2922,15583.9997559,851618,2.13123985031121,12374,two15995,0.000855234040745018,0.324817518248175
886522,9707303,30970,4655,4561,0,273.8286133,2.1343,0,0,0,0,0,0,0,19479.9997559,860220,1.45311807975764,12615,two15996,0.000416450812665168,0.324817518248175
887449,9705448,29929,3224,3999,0,263.2511292,3.6214108,0,2922,0,0,0,0,2922,55517.9995118,860220,0.339060885276784,11206,two16403,0.000124026007093037,0.324817518248175
