x,y,A128,A129,A130,A347,A361,A362,PMI,fl.5yr.postPML,fl.yr1,fl.yr2,fl.yr3,fl.yr4,fl.yr5,fl.pre.5cell,forest.pre,pop.den.5km.pre,dist.disturb.pre,id,distance,weights
845713,9723070,20492,1186,3930,1,653.5657349,8.5348234,1,0,0,0,0,0,0,2922.0001068,860220,0.371998228417957,9458,three12556,0.0988343840777321,1
846640,9723070,21422,2058,3840,1,800.4110107,10.1327581,1,0,0,0,0,0,0,1948,834413,0.371998228417957,9321,three12557,0.0925717477305054,1
847567,9723070,22352,2931,3937,1,864.2644043,12.7373781,1,0,0,0,0,0,0,0,825811,0.371998228417957,9274,three12558,0.102185937541069,1
848495,9723070,23281,3816,4154,1,954.0605469,5.2662687,1,0,0,0,0,0,0,0,843015,0.371998228417957,9321,three12559,0.0821995502447191,1
849422,9723070,24211,4108,4417,1,985.3987427,14.5064459,1,0,0,0,0,0,0,0,817209,0.371998228417957,9458,three12560,0.0969687851180883,1
842003,9722142,16770,2584,5063,1,1005.7987671,9.4219418,1,0,0,0,0,0,0,0,817209,0.371998228417957,8550,three12733,0.0576722699421991,1
842930,9722142,17700,1710,4397,1,798.786499,11.3316469,1,0,0,0,0,0,0,1948,851618,0.356498302233875,9458,three12734,0.0940788001811489,1
843858,9722142,18630,844,3838,1,598.5720215,10.4794035,1,0,0,0,0,0,0,12662.0001068,860220,0.340998376049794,10369,three12735,0.103553961026916,1
845713,9722142,20490,888,3057,1,635.2314453,7.4272566,1,0,0,0,0,0,0,12662.0001068,860220,0.340998376049794,10369,three12737,0.104143288076654,1
846640,9722142,21420,1808,2940,1,768.3058472,10.0945263,1,0,0,0,0,0,0,12662,843015,0.340998376049794,10244,three12738,0.104613456853812,1
847567,9722142,22350,2735,3063,1,900.0476685,0.2942216,1,0,0,0,0,0,0,10714,851618,0.356498302233875,10202,three12739,0.0764900836463752,1
848495,9722142,23280,2960,3281,1,918.2056885,4.2737517,1,0,0,0,0,0,0,0,851618,0.371998228417957,10244,three12740,0.103393955778469,1
849422,9722142,24210,3263,3595,1,829.0494995,14.3265848,1,0,0,0,0,0,0,0,851618,0.371998228417957,10369,three12741,0.150045422360783,1
842003,9721215,16792,2764,4512,1,1185.7830811,27.2995243,1,0,0,0,0,0,0,0,834413,0.371998228417957,8798,three12914,0.108679178454029,1
842930,9721215,17721,1836,3752,1,807.1283569,14.3043499,1,0,0,0,0,0,0,6818,843015,0.340998376049794,9683,three12915,0.10833397235576,1
