A128,A129,A130,A154,A347,A361,A362,PMI,toPeru.km,fl.5yr.postPML,fl.yr1,fl.yr2,fl.yr3,fl.yr4,fl.yr5,fl.pre.5cell,forest.pre,pop.den.5km.pre,dist.disturb.pre,id,distance,weights
12384,3083,9321,1,1,1324.69519,22.288631,0,26.89694,0,0,0,0,0,0,0,825811,1.363994,2932,three21442,0.121025733301547,0.662797125483693
10752,3816,6345,1,1,1241.13208,14.109472,0,16.4088,0,0,0,0,0,0,0,825811,0.170499,17840,three21460,0.426893075711869,0.662797125483693
5035,1771,4714,1,1,298.744873,2.059738,0,9.13462,5844,0,0,2922,0,2922,37012,851618,0.371998,20021,three21474,0.67462154475738,3.31398562741846
12238,3380,8404,1,1,1383.155518,10.652085,0,26.23311,0,0,0,0,0,0,0,817209,1.084995,3344,three21561,0.0894822638800735,1.98839137645108
13162,4234,8256,1,1,1055.241455,29.954281,0,25.58569,0,0,0,0,0,0,0,834413,0.619997,4147,three21562,0.269625783249995,1.32559425096739
15012,6010,7960,1,1,1161.735962,17.241198,0,24.27449,0,0,0,0,0,0,0,834413,0.418498,5246,three21564,0.162876922952314,1.98839137645108
10266,4438,6804,1,1,949.778198,17.742363,0,16.22428,0,0,0,0,0,0,0,825811,0.139499,17101,three21578,0.539656712350016,0.662797125483693
9967,4680,5940,1,1,959.328003,31.298904,0,15.73987,0,0,0,0,0,0,0,817209,0.232499,18008,three21579,0.664329840670967,2.65118850193477
4111,1897,4313,1,1,313.602783,5.485386,0,8.29564,0,0,0,0,0,0,30194,860220,0.371998,20256,three21593,0.761133203122847,0.662797125483693
1826,4819,792,1,0,297.846588,7.410724,0,5.64164,0,0,0,0,0,0,10714,834413,0.340998,12443,three21602,0.175028033056394,1.32559425096739
11232,3211,7685,1,1,1474.701416,18.641928,0,26.26588,0,0,0,0,0,0,0,825811,1.425993,2073,three21676,0.101390495363112,0.662797125483693
12161,3884,7486,1,1,1230.622803,28.353737,0,25.58569,0,0,0,0,0,0,0,817209,0.774996,2932,three21677,0.207088506805769,0.662797125483693
13091,4646,7338,1,1,1195.486572,6.291712,0,24.92146,0,0,0,0,0,0,0,843015,0.418498,3824,three21678,0.133355425169591,0.662797125483693
14934,6306,7043,1,1,1012.169495,16.460022,0,23.6098,0,0,0,0,0,0,0,842041,0.387498,5641,three21680,0.210572634363971,0.662797125483693
4454,551,2777,1,0,274.066772,0.837066,0,9.27481,19480,0,0,0,0,19480,52596,851618,0.325498,24078,three21705,0.0956575725721519,0.662797125483693
3191,2190,3390,1,0,297.613983,5.429137,0,7.47759,0,0,0,0,0,0,12662.000103,860220,0.356498,20530,three21709,0.215984625097875,0.662797125483693
3150,5692,3478,1,0,992.274353,15.411916,1,6.22173,0,0,0,0,0,0,0,834413,0.371998,17051,three21713,0.110299187222935,1
2276,6236,2589,1,0,770.149475,12.574167,1,5.8659,0,0,0,0,0,0,2922,834413,0.371998,16197,three21714,0.128245762830913,1
1425,6852,1731,1,0,622.442261,23.308233,0,5.64164,0,0,0,0,0,0,3896.000107,834413,0.356498,15352,three21715,0.209723114357002,0.662797125483693
11994,4524,6571,1,1,1314.726196,21.701027,1,24.95595,0,0,0,0,0,0,0,800004,0.728497,2782,three21792,0.153113240165878,1
12885,5193,6419,1,1,1014.633301,13.562486,1,24.27449,0,0,0,0,0,0,0,843015,0.464998,3709,three21793,0.20969841396964,1
13782,5933,6270,1,1,957.758728,4.52054,1,23.6098,0,0,0,0,0,0,0,825811,0.449498,4637,three21794,0.159213455759381,1
14683,6720,6122,1,1,994.826111,9.886935,0,22.96334,0,0,0,0,0,0,0,817209,0.418498,5564,three21795,0.170766934179309,0.662797125483693
3863,721,2347,1,0,304.896301,11.043758,0,9.13462,5844,974,0,0,2922,1948,45778.000431,851618,0.433998,25230,three21819,0.157199960689738,0.662797125483693
3450,313,3291,1,0,261.948822,1.903367,0,7.97849,0,0,0,0,0,0,56492.000852,829543,0.340998,23463,three21821,0.0891596799366196,0.662797125483693
3245,967,3012,1,0,256.979095,0.651634,0,7.47759,0,0,0,0,0,0,22402.000246,860220,0.309999,22585,three21822,0.19677936590319,0.662797125483693
2373,3915,2777,1,0,795.397827,34.515556,0,5.8659,0,0,0,0,0,0,973.999992,851618,0.356498,19120,three21826,0.325383431535583,0.662797125483693
2779,4417,3060,1,0,903.726501,17.624456,1,5.64164,0,0,0,0,0,0,974,843015,0.356498,18269,three21827,0.163915699205682,1
2972,4932,3216,1,0,781.48291,19.458185,1,5.40809,0,0,0,0,0,0,0,825811,0.356498,17425,three21828,0.175934191750076,1
2043,5537,2392,1,0,610.049561,23.188742,1,4.99464,0,0,0,0,0,0,2922,851618,0.340998,16591,three21829,0.251171679607109,1
1116,6211,1477,1,0,628.104309,23.981737,1,4.72924,0,0,0,0,0,0,4870.000152,860220,0.325498,15767,three21830,0.257169141964164,1
0,5406,644,1,0,258.225586,2.215938,0,3.8241,13636,974,0,0,2922,9740,22401.999508,635425,0.216999,13376,three21833,0.0680714277241152,0.662797125483693
11753,5252,5659,1,1,1485.270264,14.655044,1,24.34526,974,0,0,0,0,974,0,834413,0.836996,2932,three21904,0.116856837992199,1
12661,5838,5499,1,1,1183.019287,23.723618,1,23.64621,0,0,0,0,0,0,0,851618,0.635497,3824,three21905,0.239480964077698,1
13573,6505,5351,1,1,957.637268,6.669144,1,22.96334,0,0,0,0,0,0,0,860220,0.619997,4729,three21906,0.193378860701277,1
14487,7230,5203,1,1,904.150024,5.894269,1,22.29814,0,0,0,0,0,0,0,851618,0.588997,5641,three21907,0.192439846557559,1
13332,7260,4907,1,1,824.947449,9.459096,0,20.98649,0,0,0,0,0,0,0,851618,0.557997,7477,three21909,0.277983267219313,1.98839137645108
3046,926,2750,1,0,279.977448,1.29718,0,8.29564,0,0,0,0,0,0,17532.000215,860220,0.464998,25518,three21931,0.230739921621781,0.662797125483693
1930,1012,1842,1,0,250.708435,1.260954,1,6.22173,0,0,0,0,0,0,28245.999508,860220,0.294499,22045,three21935,0.208537719332383,1
1387,1923,1566,1,0,280.033173,1.376509,1,5.8659,0,0,0,0,0,0,19479.999133,860220,0.309999,21190,three21936,0.230471609718106,1
1321,2813,1557,1,0,365.541901,11.919624,1,5.40809,0,0,0,0,0,0,8766,834413,0.325498,20341,three21937,0.291295698343226,1
