A128,A129,A130,A154,A347,A361,A362,PML,fl.5yr.postPML,fl.yr1,fl.yr2,fl.yr3,fl.yr4,fl.yr5,fl.pre.5cell,forest.pre,pop.den.5km.pre,dist.disturb.pre,id,toPeru.within10km,distance,weights
5930,3677,11002,1,0,1312.972534,18.883366,0,0,0,0,0,0,0,974,843015,6.248408,5865,two8382,0,0.101017757565206,0.620689655172414
6813,2786,11868,1,0,1493.890991,26.281063,0,974,0,0,0,974,0,4870.000053,825811,5.3281,4994,two8383,0,0.15291901330349,0.310344827586207
8372,1106,13397,1,0,1315.668213,8.025697,0,0,0,0,0,0,0,974,851618,5.3281,5246,two8732,0,0.0593412111122935,0.310344827586207
9063,9187,15400,0,0,2577.815918,18.415241,0,974,0,0,0,0,974,0,774198,3.051548,7477,two10572,0,0.000231951201865719,0.310344827586207
49138,3625,4436,1,0,320,0,0,0,0,0,0,0,0,0,860220,4.698415,8550,two12066,0,0.000594797080088182,0.310344827586207
46871,4534,8268,0,0,304.531494,8.910293,0,3896,0,0,0,3896,0,0,851618,5.279662,9989,two12240,0,4.75212571668056e-06,0.310344827586207
47203,4671,7363,1,0,307.589417,9.130813,1,974,974,0,0,0,0,0,860220,5.86091,10369,two12241,0,0.00464381064133641,1
47550,4904,6462,1,0,320,-0.020493,0,0,0,0,0,0,0,0,860220,6.19997,10244,two12242,0,0.00148588901730856,0.310344827586207
47912,4470,5569,1,0,320,0,0,0,0,0,0,0,0,0,860220,6.296845,9859,two12243,0,0.000993760755497093,0.310344827586207
46000,3606,8510,0,0,297.829742,6.827387,0,0,0,0,0,0,0,0,860220,5.3281,10855,two12420,0,3.54932821738959e-06,0.310344827586207
46338,3770,7628,1,0,283.356476,4.436197,1,0,0,0,0,0,0,0,860220,5.764035,11206,two12421,0,0.00261358693168945,1
46692,4012,6754,1,0,320,0,1,0,0,0,0,0,0,0,843015,5.86091,11129,two12422,0,0.00109172532236789,1
47061,4394,5874,1,0,298.039062,1.386718,1,0,0,0,0,0,0,0,860220,5.86091,10202,two12423,0,0.00125366743329716,1
47445,3618,4999,1,0,318.491364,1.931884,1,0,0,0,0,0,0,974,860220,6.054659,9274,two12424,0,0.000837787232010967,1
45132,2678,8814,1,0,299.781006,7.933536,0,6818,0,4870,1948,0,0,0,860220,4.940601,11731,two12600,0,0.00432357855285461,0.310344827586207
45476,2874,7940,1,0,279.225189,7.297749,1,1948,0,1948,0,0,0,0,860220,5.231225,12057,two12601,0,0.00293812946952678,1
45836,3143,7061,1,0,291.157684,3.237212,1,0,0,0,0,0,0,0,860220,5.085913,11168,two12602,0,0.00166618225325152,1
46212,3618,6185,1,0,289.896912,8.400058,1,0,0,0,0,0,0,0,860220,5.182788,10244,two12603,0,0.00233813216027464,1
40594,6926,17316,1,0,369.524323,13.868575,0,0,0,0,0,0,0,0,860220,2.857799,12199,two12765,0,0.343478053681942,0.310344827586207
43960,1868,9991,0,0,307.426697,6.503418,0,0,0,0,0,0,0,4870,860220,3.584358,12374,two12780,0,3.15323980356385e-06,0.620689655172414
44294,1782,9116,1,0,311.302917,11.160774,0,1948,0,0,1948,0,0,3896,860220,4.649978,12615,two12781,0,0.0043499070346955,0.310344827586207
44644,2001,8237,1,0,298.390411,3.245653,1,2922,0,0,0,974,1948,3896,860220,5.376537,12199,two12782,0,0.00165754811556441,1
45011,2346,7361,1,0,302.351624,4.0028,1,0,0,0,0,0,0,3896,860220,5.376537,11283,two12783,0,0.00150224299253924,1
45793,3428,5606,1,0,330.531921,9.167997,0,0,0,0,0,0,0,974,860220,5.521849,9458,two12785,0,0.00202467267458072,0.310344827586207
43788,1100,8547,1,0,268.281586,6.830387,1,1948,0,1948,0,0,0,6818.000213,860220,4.79529,12374,two12963,0,0.00200207534732868,1
44162,1640,7672,1,0,299.268341,14.46905,1,0,0,0,0,0,0,6818,860220,5.037476,11472,two12964,0,0.00348208634690725,1
44552,2359,6792,1,0,273.782898,5.36139,0,0,0,0,0,0,0,2922,860220,4.843727,10574,two12965,0,0.00159745735833907,0.931034482758621
42934,351,8485,1,0,260.832306,0.960574,1,15584,0,8766,974,0,5844,12661.999882,860220,3.245297,12615,two13148,0,0.000804148808825358,1
43315,1050,7787,1,0,295.190186,0.912447,0,0,0,0,0,0,0,12661.999666,860220,3.439046,11731,two13149,0,0.000762201755587283,0.310344827586207
44127,1594,6223,1,0,387.419861,12.463416,0,0,0,0,0,0,0,0,860220,3.535921,9989,two13151,0,0.00227575644219652,0.310344827586207
42084,30,7929,1,0,279.994537,0.125511,0,24350,0,0,2922,15584,5844,15584.000246,857298,2.421863,12918,two13334,0,0.00048563092955924,0.620689655172414
