A128,A129,A130,A154,A347,A361,A362,PML,fl.5yr.postPML,fl.yr1,fl.yr2,fl.yr3,fl.yr4,fl.yr5,fl.pre.5cell,forest.pre,pop.den.5km.pre,dist.disturb.pre,id,distance,weights,x,y,long,lat
39142,2284,5677,1,0,323.5196533,5.1422467,1,0,0,0,0,0,0,0,860220,0,11283,two14121,0.00102883312264358,1,888377,9715650,-77.5084417225151,-2.56778598315476
39582,1398,4760,1,0,393.7260437,6.8228407,1,0,0,0,0,0,0,7792,843015,0,10369,two14122,0.000498930110428388,1,889304,9715650,-77.5001139959344,-2.56776306103064
40038,591,3847,1,0,310.2530518,10.2507114,1,1948,0,0,0,1948,0,7791.999939,860220,0,9458,two14123,0.000503670017721635,1,890232,9715650,-77.4917863440294,-2.56774008457209
35417,4203,12606,1,0,321.0482483,2.888916,0,0,0,0,0,0,0,1948,860220,4.55310331657395,18572,two14326,0.00998774928187757,0.33769322235434,880957,9714722,-77.575043833174,-2.57634335380821
36025,3750,10993,1,0,319.7082214,0.9986596,0,0,0,0,0,0,0,0,860220,2.56717527423851,16720,two14328,0.00507300506189569,2.02615933412604,882812,9714722,-77.5583871629269,-2.57629817766911
36349,3603,10105,1,0,320,0,1,0,0,0,0,0,0,0,860220,1.98592804233545,15794,two14329,0.00344645372573603,1,883739,9714722,-77.5500589378754,-2.57627550780523
36705,3671,9188,1,0,319.9048157,0.5750782,1,1948,0,0,0,1948,0,0,860220,1.54999261840815,14868,two14330,0.0027952352644226,1,884667,9714722,-77.5417307864412,-2.57625278341498
37080,3960,8270,1,0,320,0,1,0,0,0,0,0,0,0,860220,0.774996309204077,13943,two14331,0.00214813277072037,1,885594,9714722,-77.533402708801,-2.57623000450076
37475,3882,7353,1,0,320,0,1,0,0,0,0,0,0,0,860220,0.242186346626274,13017,two14332,0.00159737255782166,1,886522,9714722,-77.5250747051318,-2.57620717106499
37889,3155,6436,1,0,320,0,1,0,0,0,0,0,0,0,860220,0.09687453865051,12092,two14333,0.00102286839913759,1,887449,9714722,-77.5167467756103,-2.57618428311007
38320,2227,5519,1,0,357.6882019,14.56635,1,0,0,0,0,0,0,0,860220,0.09687453865051,11168,two14334,0.00225145571001696,1,888377,9714722,-77.5084189204133,-2.57616134063842
38769,1302,4601,1,0,320,0,1,0,0,0,0,0,0,7792,860220,0.048437269325255,10244,two14335,0.000304895844430588,1,889304,9714722,-77.5000911397177,-2.57613834365246
39235,390,3684,1,0,320.0541992,0.8679933,1,7792,0,0,974,2922,3896,7791.999939,860220,0,9321,two14336,0.000201722823149423,1,890232,9714722,-77.4917634337002,-2.57611529215461
33966,5932,13668,1,0,282.4818115,3.7458503,0,0,0,0,0,0,0,9740.0001068,860220,5.90934685768109,18916,two14536,0.0201228061479297,0.33769322235434,879102,9713795,-77.5916784622132,-2.58476440685667
34532,5067,12073,1,0,302.3854065,3.531894,0,0,0,0,0,0,0,9740,860220,4.89216420185074,18549,two14538,0.00858935919984737,0.33769322235434,880957,9713795,-77.5750213909907,-2.58471930249851
34833,4833,11306,1,0,319.6734924,1.1301984,1,0,0,0,0,0,0,0,860220,4.11716789264666,17622,two14539,0.00698132253137642,1,881884,9713795,-77.5666929649245,-2.58469666825165
35155,4650,10565,1,0,300.7479858,2.6672335,1,0,0,0,0,0,0,0,860220,3.05154796749105,16694,two14540,0.00629243476141436,1,882812,9713795,-77.5583646121242,-2.58467397929614
35488,4532,9878,1,0,319.1486206,0.5799591,1,0,0,0,0,0,0,0,860220,2.37342619693749,15767,two14541,0.00421523318326232,1,883739,9713795,-77.5500363327667,-2.58465123563436
35852,4586,9030,1,0,312.9941406,6.877068,1,0,0,0,0,0,0,0,860220,1.93749077301019,14839,two14542,0.0058377764473641,1,884667,9713795,-77.5417081270288,-2.58462843726871
36236,4821,8114,1,0,320.0739441,0.6700206,1,0,0,0,0,0,0,0,860220,1.16249446380611,13912,two14543,0.00268451393328792,1,885594,9713795,-77.5333799950873,-2.58460558420161
36640,3982,7200,1,0,311.6233826,6.7633371,1,0,0,0,0,0,0,0,860220,0.678121770553567,12984,two14544,0.00288968429173228,1,886522,9713795,-77.5250519371192,-2.58458267643546
37063,3058,6283,1,0,339.8659363,12.3373823,1,0,0,0,0,0,0,974,860220,0.532809962577803,12057,two14545,0.00279197947078311,1,887449,9713795,-77.5167239533012,-2.58455971397269
