A128,A129,A130,A154,A347,A361,A362,PMI,fl.5yr.postPML,fl.yr1,fl.yr2,fl.yr3,fl.yr4,fl.yr5,fl.pre.5cell,forest.pre,pop.den.5km.pre,dist.disturb.pre,id,distance,weights,x,y,long,lat
13406,870,948,1,0,320.7850342,3.1423664,0,6818,0,0,974,1948,3896,21428.0004273,832465,0.774996309204077,21352,four20694,0.0690189270243744,0.719734660033168,840148,9682261,-77.9408214095734,-2.87054637999319
7079,1902,4207,1,0,326.4434509,8.5566158,0,10714,7792,0,2922,0,0,26297.9990234,848532,0.048437269325255,11129,four20847,0.0411307632349379,1.43946932006634,857770,9681333,-77.7824741334322,-2.87848698156334
12775,684,3510,1,0,419.5791321,15.6975517,0,1948,0,0,0,1948,0,12661.9995118,846748,0.823433578529332,19674,four20957,0.0753880967769707,0.719734660033168,838293,9680406,-77.9574439688526,-2.88734928585539
6319,4776,1675,1,1,996.0321045,26.96595,0,0,0,0,0,0,0,0,843015,0.581247231903058,13943,four20975,0.404713653561315,1.43946932006634,854987,9680406,-77.807447814505,-2.88693554424035
12024,1481,4028,1,0,639.7461548,34.4149055,0,2922,0,0,0,0,2922,12662,843015,0.823433578529332,19827,four21087,0.0905822109525223,0.719734660033168,838293,9679478,-77.9574216230201,-2.89572837143149
8123,30,3801,1,0,299.0805054,0.9928154,0,1948,0,1948,0,0,0,40907.9990234,829379,0.726559039878822,21412,four21097,0.0358577286891585,0.719734660033168,847567,9679478,-77.8740871492766,-2.89550030183394
5413,5252,975,1,1,854.8994141,35.2766685,0,0,0,0,0,0,0,0,825811,0.629684501228313,14035,four21105,0.59905535295545,2.1592039800995,854987,9679478,-77.8074243714928,-2.8953134271768
12827,1745,6842,1,0,979.7980957,20.0183506,0,0,0,0,0,0,0,4870.0000534,843015,0.532809962577803,17326,four21212,0.0167068292361535,0.719734660033168,835510,9678551,-77.9824010138677,-2.90417487417379
12383,2130,6007,1,0,920.5903931,26.0789299,0,0,0,0,0,0,0,4870.0000534,860220,0.581247231903058,18222,four21213,0.0330731741153949,0.719734660033168,836438,9678551,-77.9740670152307,-2.90415246289274
7621,1070,2626,1,0,316.3978882,3.9442713,0,0,0,0,0,0,0,27272.0002441,857298,0.629684501228313,22432,four21224,0.0902967439411725,0.719734660033168,846640,9678551,-77.8823973378249,-2.9039018750506
